,T,TM,Tm,H,PP,VV,V,VM,PM2.5
0,22.2,28.4,16.6,53,0,7.7,0.9,5.4,255.875
1,22.1,28.9,17.8,58,0,5.1,1.1,-,217.08333333333334
2,22.2,29,18.4,62,0,6,3.9,5.4,229.16666666666666
3,,,,,,,,,392.2083333333333
4,,,,,,,,,536.5
5,,,,,,,,,321.8333333333333
6,20.4,27.2,15.2,52,0,6.3,4.1,7.6,298.4583333333333
7,20.1,27.2,14.8,50,0,6.9,6.5,7.6,264.9166666666667
8,21.2,26.6,15.5,59,0,6.3,6.7,9.4,404.5
9,,,,,,,,,442.6666666666667
10,,,,,,,,,220.95833333333334
11,,,,,,,,,251.375
12,23.4,30.6,17.6,48,0,6.3,4.1,5.4,188.5
13,23.3,31,16.3,42,0,5.8,2.8,11.1,164.75
14,22.4,30.7,16.3,49,0,6.3,3.3,7.6,376.9166666666667
15,,,,,,,,,362.0
16,,,,,,,,,235.625
17,,,,,,,,,0.0
18,20.7,28.7,14.3,48,0,6.9,7.2,9.4,0.0
19,20.4,28,14.2,45,0,6.3,4.6,7.6,0.0
20,20.9,28.5,14.3,46,0,6.3,4.1,7.6,57.0
21,,,,,,,,,114.33333333333333
22,,,,,,,,,148.125
23,,,,,,,,,184.875
24,22.7,29.1,17.1,48,0,6.3,2,5.4,202.91666666666666
25,21.9,29.8,16.2,44,0,6.3,2.6,7.6,205.125
26,21.3,29,16,53,0,6.9,4.4,11.1,214.125
27,,,,,,,,,202.95833333333334
28,,,,,,,,,308.875
29,,,,,,,,,323.875
30,21.4,29.2,15,42,0,6.9,5.2,9.4,315.7916666666667
31,21.9,29.6,13.2,26,0,6.9,3.1,7.6,322.25
32,22.6,30.4,15.9,30,0,8.5,5.4,9.4,246.04166666666666
33,21.7,30.1,15.8,32,0,6.9,6.3,11.1,200.91666666666666
34,,,,,,,,,187.16666666666666
35,,,,,,,,,187.79166666666666
36,,,,,,,,,167.79166666666666
37,23.3,32.3,20.2,67,0.51,6.3,3,5.4,99.5
38,23.3,30,19.2,54,0,6.9,2.4,5.4,143.91666666666666
39,24.4,30.2,19.7,61,0,6.9,1.5,5.4,100.25
40,,,,,,,,,126.0
41,,,,,,,,,163.91666666666666
42,,,,,,,,,152.875
43,23.5,30.2,18.5,49,0,6.3,5,11.1,165.0
44,23.3,29.9,17.9,58,0,6.9,5.6,7.6,116.45833333333333
45,23.4,30.7,17.4,60,0,6.3,5.7,7.6,143.0
46,,,,,,,,,194.91666666666666
47,,,,,,,,,130.66666666666666
48,,,,,,,,,152.375
49,24.3,32.1,16.8,34,0,6.3,5,9.4,231.125
50,22.8,32.2,17.4,39,0,6.9,7.4,18.3,218.66666666666666
51,24.2,31.5,17.5,31,0,6.9,5.4,11.1,211.0
52,,,,,,,,,172.0
53,,,,,,,,,184.875
54,,,,,,,,,95.41666666666667
55,24.7,31.2,17.3,34,0,7.4,6.9,11.1,52.208333333333336
